Subject,PDFs,Markdown,Pages
Art-and-Design,8,8,202
Business,13,13,422
Computer-Science,10,10,344
Dance,2,2,34
Design-and-Technology,2,2,53
Digital-Media-and-Film,2,2,39
Digital-Technology,2,2,62
Drama,13,13,539
English-Language-and-Literature,22,22,793
Food-and-Nutrition,19,19,484
French,13,13,437
Geography,19,20,501
German,13,13,438
Health-and-Social-Care-and-Childcare,2,2,45
History,35,35,1184
Integrated-Science-Single-Award,2,2,53
Level-2-Additional-Mathematics,3,3,52
Mathematics-and-Numeracy,14,14,419
Music,11,11,291
Physical-Education-and-Health,2,2,37
Religious-Studies,14,14,788
Social-Studies,2,2,46
Spanish,13,13,428
The-Sciences-Double-Award,2,2,85
TOTAL,238,239,7776
